blockNum	trialNum	condition	pWin1	pWin2	optimalResponse	preStimulusDelay	responded	response	rt	preFeedbackDelay	outcome	optimal
1	1	2	0.6	0.1	1	0.5150157829739834	0	n/a	n/a	n/a	n/a	n/a
1	2	2	0.6	0.1	1	0.4545513735501186	1	1	0.550418599974364	0.5687779379417317	2	1
1	3	2	0.6	0.1	1	0.436038927196705	1	1	0.3509416999295354	0.5213895688550756	1	1
1	4	2	0.6	0.1	1	0.5074041928966289	1	1	0.3427488999441266	0.4552634978798344	1	1
1	5	2	0.6	0.1	1	0.4587580694476417	1	1	0.3252059000078589	0.4517531951770408	1	1
1	6	2	0.6	0.1	1	0.5903589616394145	1	1	0.2641328999307007	0.4288217218963613	1	1
1	7	2	0.6	0.1	1	0.4427151822468085	1	1	0.2922543999738991	0.4368358472732222	2	1
1	8	2	0.6	0.1	1	0.5769338410731848	1	1	0.3181541999801993	0.4504742685302084	2	1
1	9	2	0.6	0.1	1	0.5658171742390692	1	1	0.6067105999682099	0.5816848004529312	2	1
1	10	2	0.6	0.1	1	0.5037002485352789	1	2	0.9948703000554815	0.5602804903067333	2	0
1	11	2	0.6	0.1	1	0.4027398614565391	1	1	0.3221792000113055	0.4653038802503584	1	1
1	12	2	0.6	0.1	1	0.5968320093851203	1	1	0.3375501000555232	0.5710837222682832	2	1
1	13	2	0.6	0.1	1	0.5408602805872227	1	2	0.2978959999745712	0.4005129152530054	2	0
1	14	2	0.6	0.1	1	0.5500828715739755	1	2	0.2367370999418199	0.4427612484027473	2	0
1	15	2	0.6	0.1	1	0.5546536711162048	1	1	0.131786199985072	0.5172934549759968	1	1
1	16	2	0.6	0.1	1	0.5121336830908729	1	1	0.3004987000022084	0.4572252705017366	1	1
1	17	2	0.6	0.1	1	0.518535636077979	1	1	0.2515918000135571	0.4365395082321527	1	1
1	18	2	0.6	0.1	1	0.4299031370864045	1	1	0.3546347999945283	0.592452694146036	2	1
1	19	2	0.6	0.1	1	0.4225359959035948	1	1	0.169869999983348	0.4660030403623614	1	1
1	20	2	0.6	0.1	1	0.5220286500003268	1	1	0.3261118000373244	0.4381805861553584	2	1
2	1	2	0.1	0.6	2	0.4721505763763585	1	2	0.3272101000184193	0.4996872853783683	1	1
2	2	2	0.1	0.6	2	0.5372168069280469	1	2	0.2447486999444664	0.5610229155081873	1	1
2	3	2	0.1	0.6	2	0.5287699102034348	1	2	0.2634083000011742	0.4428282379625875	1	1
2	4	2	0.1	0.6	2	0.599174429209169	1	2	0.2335505000082776	0.5268400506104217	2	1
2	5	2	0.1	0.6	2	0.4817591455521068	1	2	0.329516900004819	0.416136217468787	2	1
2	6	2	0.1	0.6	2	0.5937029259923476	1	2	0.1338383000111207	0.4780233761503108	2	1
2	7	2	0.1	0.6	2	0.4761202986821171	1	2	0.2771688000066206	0.5003293158030766	2	1
2	8	2	0.1	0.6	2	0.4971231822209171	1	2	0.3284545000642538	0.4898507999411369	2	1
2	9	2	0.1	0.6	2	0.4087277113670242	1	1	0.2645160999381915	0.5491031398560599	2	0
2	10	2	0.1	0.6	2	0.4994413736823304	1	1	0.1494234000565484	0.5833423489740606	2	0
2	11	2	0.1	0.6	2	0.5269137594522074	1	2	0.1699794000014663	0.4048090909245667	1	1
2	12	2	0.1	0.6	2	0.513952622691332	1	2	0.3888189999852329	0.4205236346817466	2	1
2	13	2	0.1	0.6	2	0.5183106763432456	1	2	0.4017647000728175	0.5709452415285862	1	1
2	14	2	0.1	0.6	2	0.4592467018109297	1	2	0.168684900039807	0.4783355481223256	1	1
2	15	2	0.1	0.6	2	0.589503741510541	1	2	0.3507534000091255	0.4659219978754068	1	1
2	16	2	0.1	0.6	2	0.59656198915877	1	2	0.2682190000778064	0.4300489527129806	1	1
2	17	2	0.1	0.6	2	0.5057191402707749	1	2	0.1872022999450564	0.5126345966865534	2	1
2	18	2	0.1	0.6	2	0.5578593556363229	1	2	0.7721402999013662	0.5946496744377376	2	1
2	19	2	0.1	0.6	2	0.5245316008637249	1	2	0.2217287999810651	0.4396080928817355	2	1
2	20	2	0.1	0.6	2	0.5984340119053861	1	2	0.3106860000407323	0.5957310730661007	2	1
3	1	1	0.5	0.5	1	0.5559020284932811	1	1	0.4133899000007659	0.5853519923951569	2	1
3	2	1	0.5	0.5	1	0.470857765799842	1	1	0.2755411000689492	0.5841548915786337	2	1
3	3	1	0.5	0.5	1	0.4804692385604188	1	1	0.3821570000145584	0.5437762568605663	2	1
3	4	1	0.5	0.5	1	0.4358651345670903	1	1	0.2896835999563336	0.5318573101118497	2	1
3	5	1	0.5	0.5	1	0.5685968094157756	1	1	0.2278758999891579	0.4690624009830766	1	1
3	6	1	0.5	0.5	1	0.4337655741898941	1	2	0.2824921000283211	0.4147745756674225	2	0
3	7	1	0.5	0.5	1	0.5176714921979867	1	2	0.2670152999926358	0.4309659642847136	1	0
3	8	1	0.5	0.5	1	0.5554101858774401	1	2	0.03701479989103973	0.5837825355603337	1	0
3	9	1	0.5	0.5	1	0.5973360525394448	1	2	0.2642978000221774	0.4346698147328594	2	0
3	10	1	0.5	0.5	1	0.4496078129347645	1	2	0.2912022999953479	0.435440920006324	2	0
3	11	1	0.5	0.5	1	0.4315118606635567	1	2	0.3001604001037776	0.5749064586252647	1	0
3	12	1	0.5	0.5	1	0.5806766947144367	1	2	0.29324359993916	0.4900713678655713	1	0
3	13	1	0.5	0.5	1	0.5563162445620298	1	2	0.2501400000182912	0.4849827499461202	2	0
3	14	1	0.5	0.5	1	0.4009221204987304	1	2	0.3045868999324739	0.5933248171947817	1	0
3	15	1	0.5	0.5	1	0.4167923447166375	1	2	0.3042343000415713	0.420276215770955	1	0
3	16	1	0.5	0.5	1	0.5818842613838687	1	2	0.2643747000256553	0.5113720139137442	1	0
3	17	1	0.5	0.5	1	0.5923297923106946	1	2	0.3051768000004813	0.4453954734460821	1	0
3	18	1	0.5	0.5	1	0.4987427527056275	1	2	0.2836344999959692	0.4952978848918994	2	0
3	19	1	0.5	0.5	1	0.4732726926049177	1	2	0.3258448999840766	0.4245583392491686	2	0
3	20	1	0.5	0.5	1	0.5717818976657438	1	2	0.2603324999799952	0.4971289320275846	2	0
4	1	1	0.5	0.5	1	0.5568100948570236	1	1	0.6905220000771806	0.5093783810314743	2	1
4	2	1	0.5	0.5	1	0.4742047340859922	1	1	0.2402757999952883	0.5459629118561283	1	1
4	3	1	0.5	0.5	1	0.5586327517847316	1	1	0.2844752999953926	0.4475590981723984	2	1
4	4	1	0.5	0.5	1	0.4620233996819331	1	1	0.2576741999946535	0.4946080775742514	1	1
4	5	1	0.5	0.5	1	0.5985597832087108	1	1	0.2755670000333339	0.4009208246177052	2	1
4	6	1	0.5	0.5	1	0.471389695298021	1	2	0.3311870000325143	0.4830429674702047	2	0
4	7	1	0.5	0.5	1	0.5786840145564238	1	2	0.3247557999566197	0.4750307050795964	2	0
4	8	1	0.5	0.5	1	0.4314403572866232	1	2	0.2924518999643624	0.4869780529584433	1	0
4	9	1	0.5	0.5	1	0.5331538650814091	1	2	0.2139678999083117	0.4422759233632736	1	0
4	10	1	0.5	0.5	1	0.478717383229428	1	2	0.2412118000211194	0.4110984088432552	2	0
4	11	1	0.5	0.5	1	0.480627646578539	1	2	0.324161900090985	0.4339832629184361	2	0
4	12	1	0.5	0.5	1	0.5232051420446829	1	2	0.2847131000598893	0.5299866296597737	2	0
4	13	1	0.5	0.5	1	0.4726023680436832	1	1	0.3001634000102058	0.52519876088769	1	1
4	14	1	0.5	0.5	1	0.5386765612269164	1	1	0.3789484000299126	0.5460565574280986	2	1
4	15	1	0.5	0.5	1	0.4795584057610816	1	1	0.3397565999766812	0.4804123453522585	2	1
4	16	1	0.5	0.5	1	0.5139752823259364	1	1	0.338224699953571	0.4961392839124982	2	1
4	17	1	0.5	0.5	1	0.4311794794041928	1	1	0.1278281999984756	0.470750414960529	2	1
4	18	1	0.5	0.5	1	0.5790278889215077	1	1	0.2270189999835566	0.4774666122264883	1	1
4	19	1	0.5	0.5	1	0.4448549661512335	1	1	0.2755672000348568	0.5160288286428881	1	1
4	20	1	0.5	0.5	1	0.4096738756606343	1	1	0.3888443999458104	0.4822985218405533	1	1
5	1	2	0.6	0.1	1	0.5328219264707686	1	1	0.4454954999964684	0.5125638376844219	1	1
5	2	2	0.6	0.1	1	0.4969472267905524	1	1	0.2398135999683291	0.4740061351262213	1	1
5	3	2	0.6	0.1	1	0.4598262638644022	1	1	0.2785127999959514	0.5682672090506645	1	1
5	4	2	0.6	0.1	1	0.4112761615724326	1	1	0.2288352000759915	0.5956040032925438	1	1
5	5	2	0.6	0.1	1	0.4946950431675262	1	1	0.2768963999114931	0.4306473388519194	2	1
5	6	2	0.6	0.1	1	0.4509324701966406	1	1	0.03153290005866438	0.497864169343024	2	1
5	7	2	0.6	0.1	1	0.5473453223121707	1	1	0.287027099984698	0.5262854169496232	1	1
5	8	2	0.6	0.1	1	0.5141631581048598	1	1	0.4215865000151098	0.5328838984322001	1	1
5	9	2	0.6	0.1	1	0.487416215155034	1	1	0.2528151000151411	0.4269610508293197	1	1
