blockNum	trialNum	condition	pWin1	pWin2	optimalResponse	preStimulusDelay	responded	response	rt	preFeedbackDelay	outcome	optimal
1	1	2	0.6	0.1	1	0.5732458558015481	0	n/a	n/a	n/a	n/a	n/a
1	2	2	0.6	0.1	1	0.5921501229395193	1	1	0.6783332000486553	0.5310865055973961	1	1
1	3	2	0.6	0.1	1	0.4412809606748609	1	1	0.4189976998604834	0.5242115655483627	2	1
1	4	2	0.6	0.1	1	0.533499755412051	1	2	0.6627568998374045	0.5931469143822978	2	0
1	5	2	0.6	0.1	1	0.5866473847583993	1	1	0.3079364998266101	0.4662022486900981	1	1
1	6	2	0.6	0.1	1	0.4478895416309984	1	1	0.270306299906224	0.4767191434337621	2	1
1	7	2	0.6	0.1	1	0.4676320689795455	1	2	0.2473174999468029	0.5671788729276103	2	0
1	8	2	0.6	0.1	1	0.5934470251205946	1	1	0.3654889003373682	0.5534941061051513	1	1
1	9	2	0.6	0.1	1	0.5746037052242415	1	2	0.2908016000874341	0.4158212549260352	2	0
1	10	2	0.6	0.1	1	0.4450109221874743	1	2	0.2483685002662241	0.5084815872561727	2	0
1	11	2	0.6	0.1	1	0.5896117038248491	1	1	0.202676699962467	0.5801891454041296	1	1
1	12	2	0.6	0.1	1	0.5145004345655548	1	1	0.4570275000296533	0.5657987143945168	1	1
1	13	2	0.6	0.1	1	0.4905639555322581	1	2	0.3707209001295269	0.5758763639941813	2	0
1	14	2	0.6	0.1	1	0.5167151595665676	1	2	0.3085349998436868	0.5140346454929268	2	0
1	15	2	0.6	0.1	1	0.4358884775201635	1	1	0.2240709001198411	0.53956862057581	1	1
1	16	2	0.6	0.1	1	0.4007605509809814	1	1	0.4135938999243081	0.4890392184993091	1	1
1	17	2	0.6	0.1	1	0.5467101193587957	1	2	0.2674801996909082	0.4289089978821767	2	0
1	18	2	0.6	0.1	1	0.5707188501887874	1	1	0.2079743999056518	0.4015573814984215	1	1
1	19	2	0.6	0.1	1	0.4555822645307123	1	1	0.263516899663955	0.5403373118532393	1	1
1	20	2	0.6	0.1	1	0.5765539889721527	1	1	0.3690313999541104	0.4384950849748986	2	1
2	1	2	0.6	0.1	1	0.4322547146257897	1	1	1.872077399864793	0.5854655426042659	2	1
2	2	2	0.6	0.1	1	0.5527432034902888	1	2	0.2536444999277592	0.523534819973711	2	0
2	3	2	0.6	0.1	1	0.4420273096744543	1	1	0.2307724002748728	0.5238571218632866	2	1
2	4	2	0.6	0.1	1	0.5887803760586198	1	2	0.2906117001548409	0.4523894491720829	2	0
2	5	2	0.6	0.1	1	0.4183474421486044	1	1	0.203231000341475	0.5494772485215427	2	1
2	6	2	0.6	0.1	1	0.4632225788868357	1	2	0.166771600022912	0.5805786872535261	2	0
2	7	2	0.6	0.1	1	0.4028828060527876	1	2	0.3213279000483453	0.4966542009159322	2	0
2	8	2	0.6	0.1	1	0.5021635049999962	1	1	0.2614319999702275	0.478821202539276	1	1
2	9	2	0.6	0.1	1	0.5736486765042164	1	1	0.2389985998161137	0.4457620784022199	1	1
2	10	2	0.6	0.1	1	0.503172898943399	1	2	0.1795405996963382	0.5101723392999952	2	0
2	11	2	0.6	0.1	1	0.5072986331620316	1	1	0.2532960004173219	0.5433216762619859	1	1
2	12	2	0.6	0.1	1	0.4323386899357077	1	1	0.2626534998416901	0.549688607833539	2	1
2	13	2	0.6	0.1	1	0.587116040495642	1	2	0.3465710999444127	0.4569844830392826	2	0
2	14	2	0.6	0.1	1	0.5390708548732683	1	2	0.1597845000214875	0.4039535584459349	1	0
2	15	2	0.6	0.1	1	0.5924260283275129	1	2	0.5336921000853181	0.5257308503593537	1	0
2	16	2	0.6	0.1	1	0.5083760522504019	1	2	0.1437058001756668	0.4305970443233883	2	0
2	17	2	0.6	0.1	1	0.4866310117718011	1	2	0.2633366999216378	0.5503263381983128	2	0
2	18	2	0.6	0.1	1	0.5431656310743405	1	1	0.2729155998677015	0.5108448848615864	2	1
2	19	2	0.6	0.1	1	0.4708699515426783	1	1	0.2180011998862028	0.4477267213216723	2	1
2	20	2	0.6	0.1	1	0.5432197740924734	1	1	0.185363800264895	0.4912854243912537	2	1
3	1	1	0.5	0.5	1	0.4653043303119098	1	1	1.321294900029898	0.4698642692534742	1	1
3	2	1	0.5	0.5	1	0.5675819840292042	1	2	0.1128094000741839	0.5123851150639478	1	0
3	3	1	0.5	0.5	1	0.5678650822056452	1	1	0.2385110999457538	0.4955583930779787	1	1
3	4	1	0.5	0.5	1	0.5603075710903045	1	1	0.2355558001436293	0.503957481192055	2	1
3	5	1	0.5	0.5	1	0.5870486330747458	1	2	0.2682640999555588	0.464254538971086	2	0
3	6	1	0.5	0.5	1	0.4046985880574241	1	2	0.2121762000024319	0.5640486988861223	2	0
3	7	1	0.5	0.5	1	0.5103795885940999	1	1	0.2141081998124719	0.4352919850835855	1	1
3	8	1	0.5	0.5	1	0.4298900944009518	1	1	0.2107329000718892	0.4046108482891748	2	1
3	9	1	0.5	0.5	1	0.5351599276259947	1	2	0.2070562001317739	0.5515124436141987	1	0
3	10	1	0.5	0.5	1	0.5910355117307886	1	1	0.1365216998383403	0.4399966376281089	1	1
3	11	1	0.5	0.5	1	0.4343464495544917	1	2	0.2195506999269128	0.5610986618659921	1	0
3	12	1	0.5	0.5	1	0.4257822020470874	1	1	0.2053340999409556	0.5080642714819001	2	1
3	13	1	0.5	0.5	1	0.4563617068502605	1	2	0.2257109000347555	0.513539873010621	1	0
3	14	1	0.5	0.5	1	0.520949566147711	1	1	0.03699079994112253	0.4943275443537986	2	1
3	15	1	0.5	0.5	1	0.4036813118471727	1	1	0.09397439984604716	0.4809577641499209	2	1
3	16	1	0.5	0.5	1	0.4847523707448539	1	2	0.2444023997522891	0.5776433204129555	1	0
3	17	1	0.5	0.5	1	0.5641412734034477	1	1	0.3281205003149807	0.5652539390534832	2	1
3	18	1	0.5	0.5	1	0.4594364163374058	1	2	0.1410638000816107	0.5229553386929304	2	0
3	19	1	0.5	0.5	1	0.447267838647027	1	2	0.1107582999393344	0.531849858316737	1	0
3	20	1	0.5	0.5	1	0.4581783250912623	1	1	0.2132594003342092	0.476767903115606	2	1
4	1	1	0.5	0.5	1	0.4803469550794642	0	n/a	n/a	n/a	n/a	n/a
4	2	1	0.5	0.5	1	0.4053216559824198	1	1	0.7501638000831008	0.5482580979864875	2	1
4	3	1	0.5	0.5	1	0.5872884880918401	1	2	0.2144968002103269	0.5984992014792323	2	0
4	4	1	0.5	0.5	1	0.5688660011767919	1	2	0.2186361001804471	0.4620478112685051	2	0
4	5	1	0.5	0.5	1	0.5867962669742663	1	2	0.2236438998952508	0.5091167145071215	1	0
4	6	1	0.5	0.5	1	0.4573139670877733	1	1	0.2723945002071559	0.5882382465121057	1	1
4	7	1	0.5	0.5	1	0.535887912266986	1	1	0.273080600425601	0.5796350256437484	2	1
4	8	1	0.5	0.5	1	0.5414106483392258	1	1	0.1871504001319408	0.5458755916045152	2	1
4	9	1	0.5	0.5	1	0.4412323301628421	1	2	0.1610865001566708	0.5869450720728886	2	0
4	10	1	0.5	0.5	1	0.5711396030766996	1	2	0.176564599853009	0.4660713947831121	2	0
4	11	1	0.5	0.5	1	0.4981336288672669	1	2	0.1429774998687208	0.585534904466527	1	0
4	12	1	0.5	0.5	1	0.550640759001772	1	1	0.2111200001090765	0.5818267246232227	2	1
4	13	1	0.5	0.5	1	0.42123180830801	1	1	0.2682503000833094	0.5286303036429912	2	1
4	14	1	0.5	0.5	1	0.4807536404935089	1	1	0.2673475998453796	0.565746931994288	2	1
4	15	1	0.5	0.5	1	0.5435294019740253	1	1	0.2562573002651334	0.4687541988805404	1	1
4	16	1	0.5	0.5	1	0.4233651245485761	1	1	0.1615404998883605	0.4989730802881701	2	1
4	17	1	0.5	0.5	1	0.4589255529573866	1	2	0.2105966000817716	0.4021763689019597	2	0
4	18	1	0.5	0.5	1	0.5467656088237359	1	2	0.2895423001609743	0.5663909856767023	2	0
4	19	1	0.5	0.5	1	0.4809490472404135	1	1	0.3200373998843133	0.5574975747864952	1	1
4	20	1	0.5	0.5	1	0.5519229878247127	1	2	0.2682137000374496	0.4471677288567866	2	0
5	1	2	0.6	0.1	1	0.4396346761114774	1	2	0.7368115000426769	0.5031201473477646	2	0
5	2	2	0.6	0.1	1	0.4095366954905578	1	2	0.1590339997783303	0.4900307884461345	2	0
5	3	2	0.6	0.1	1	0.50900828392847	1	2	0.0009997999295592308	0.4669486331123502	2	0
5	4	2	0.6	0.1	1	0.5288691219598735	1	2	0.1556508997455239	0.4550811778587385	2	0
5	5	2	0.6	0.1	1	0.4063995853091155	1	1	0.2091896999627352	0.5024999831088636	2	1
5	6	2	0.6	0.1	1	0.443689573110624	1	1	0.1909047001972795	0.4477110360454733	1	1
5	7	2	0.6	0.1	1	0.5981367576532181	1	1	0.004078699741512537	0.4797420327298854	1	1
5	8	2	0.6	0.1	1	0.5026605962734565	1	1	0.1474780002608895	0.4777526818441043	2	1
5	9	2	0.6	0.1	1	0.5913912637481125	1	2	0.2652579001151025	0.5727517054056054	2	0
5	10	2	0.6	0.1	1	0.4434670430798102	1	2	0.2053265003487468	0.5048057270545186	2	0
5	11	2	0.6	0.1	1	0.525948570509675	1	2	0.1864215000532568	0.5731404987040181	1	0
5	12	2	0.6	0.1	1	0.5325619757100841	1	1	0.0004070000723004341	0.4061072196438258	1	1
5	13	2	0.6	0.1	1	0.5197751365875679	1	1	0.0004130001179873943	0.4657902733564032	1	1
5	14	2	0.6	0.1	1	0.57104375505803	1	1	0.3100621001794934	0.5168826017182231	2	1
5	15	2	0.6	0.1	1	0.5697239069267004	1	2	0.0378200002014637	0.4888617500966728	2	0
5	16	2	0.6	0.1	1	0.5192061133451042	1	1	0.2671206002123654	0.478235678438235	1	1
5	17	2	0.6	0.1	1	0.5752507024197635	1	1	0.2833777000196278	0.5395801020955523	2	1
5	18	2	0.6	0.1	1	0.4816333610155191	1	1	0.1419158997014165	0.4894425305685611	2	1
5	19	2	0.6	0.1	1	0.4510019718993126	1	2	0.1531189000234008	0.5417671648022846	2	0
5	20	2	0.6	0.1	1	0.5269113136741306	1	2	0.3461036998778582	0.4082771341481303	1	0
6	1	1	0.5	0.5	1	0.5937433760399276	1	1	1.234330399893224	0.5387228965035502	2	1
6	2	1	0.5	0.5	1	0.566939198028389	1	2	0.1397401997819543	0.5823521448451484	2	0
6	3	1	0.5	0.5	1	0.4006626408459727	1	1	0.2263341997750103	0.4913871066119629	2	1
6	4	1	0.5	0.5	1	0.4322772332022182	1	2	0.2197296000085771	0.4754410094585932	2	0
6	5	1	0.5	0.5	1	0.4596946598581239	1	2	0.2253724001348019	0.5690684265136693	1	0
6	6	1	0.5	0.5	1	0.5435655510638702	1	1	0.2149541000835598	0.4666087360081222	2	1
6	7	1	0.5	0.5	1	0.5774777186872426	1	1	0.1599002997390926	0.5670149100306123	2	1
6	8	1	0.5	0.5	1	0.5982928260877837	1	2	0.3091084999032319	0.5182871983585468	2	0
6	9	1	0.5	0.5	1	0.5855151517162559	1	2	0.0004059001803398132	0.4271304609839839	2	0
6	10	1	0.5	0.5	1	0.4494236240587463	1	2	0.08810390019789338	0.4449535715645091	1	0
6	11	1	0.5	0.5	1	0.4485662314822395	1	1	0.0004226001910865307	0.5792502120654988	2	1
6	12	1	0.5	0.5	1	0.5757941950861838	1	2	0.07718620030209422	0.5758222728209481	1	0
6	13	1	0.5	0.5	1	0.4004679501507402	1	1	0.1861505000852048	0.5655805526893904	1	1
